,train_loss,train_acc,val_loss,val_acc
0,2.4844098,0.10590277777777778,2.4762356,0.09895833333333333
1,2.4501886,0.14930555555555555,2.4418077,0.1875
2,2.3607972,0.22395833333333334,2.3282905,0.19270833333333334
3,2.0640318,0.3020833333333333,1.9573172,0.2604166666666667
4,1.7060887,0.3732638888888889,1.7565941,0.3489583333333333
5,1.5678605,0.4513888888888889,1.6966676,0.3645833333333333
6,1.356226,0.4930555555555556,1.5302194,0.4114583333333333
7,1.2113268,0.5642361111111112,1.5859499,0.4479166666666667
8,1.1119919,0.6302083333333334,1.403561,0.4947916666666667
9,1.0373946,0.6145833333333334,1.4019794,0.4270833333333333
10,0.9080022,0.6892361111111112,1.6481037,0.4375
11,0.8663644,0.7048611111111112,1.4697565,0.5
12,0.78186405,0.7274305555555556,1.5443556,0.484375
13,0.6792193,0.7760416666666666,1.5505594,0.4895833333333333
14,0.59729415,0.796875,1.6021252,0.4947916666666667
15,0.511519,0.8194444444444444,1.5028296,0.515625
16,0.48411047,0.8350694444444444,1.7233503,0.4895833333333333
17,0.4264828,0.8715277777777778,1.7878721,0.5
18,0.4311761,0.8559027777777778,1.8465155,0.4791666666666667
19,0.25837395,0.9270833333333334,1.9961476,0.4479166666666667
